"[61, 70, 59, 47, 60, 83, 46, 66, 0, 29, 52, 31, 81, 74, 2, 82, 9, 56, 0, 53, 49, 58, 39, 23, 77, 0, 30, 91, 28, 33, 84, 37, 0, 54, 25, 3, 64, 88, 93, 63, 0, 22, 1, 97, 48, 13, 6, 5, 20, 0, 98, 86, 62, 51, 57, 0, 76, 14, 24, 89, 40, 73, 65, 0, 8, 50, 100, 71, 45, 95, 0, 75, 78, 92, 15, 38, 36, 0, 12, 10, 85, 80, 44, 0, 67, 17, 27, 32, 43, 0, 26, 72, 68, 90, 35, 0, 19, 21, 87, 41, 99, 42, 0, 11, 96, 69, 94, 79, 0, 18, 16, 4, 0, 7, 55, 0, 34, 0, 0, 0, 0, 0, 0]"
"[69, 44, 63, 96, 8, 35, 55, 0, 27, 80, 92, 40, 97, 71, 88, 0, 74, 82, 34, 99, 56, 81, 78, 95, 9, 0, 89, 43, 1, 93, 36, 0, 72, 33, 48, 52, 11, 0, 23, 90, 76, 3, 51, 38, 0, 2, 60, 13, 5, 68, 94, 0, 79, 59, 67, 41, 39, 66, 0, 91, 21, 25, 16, 50, 84, 58, 0, 42, 20, 54, 86, 0, 32, 19, 64, 7, 0, 24, 57, 53, 61, 14, 0, 45, 62, 22, 49, 98, 70, 0, 85, 4, 29, 6, 46, 37, 0, 15, 77, 31, 10, 0, 47, 30, 0, 18, 100, 12, 28, 0, 26, 83, 73, 0, 17, 87, 65, 0, 75, 0, 0, 0, 0]"
"[9, 57, 92, 62, 61, 39, 23, 44, 0, 83, 52, 82, 17, 41, 76, 0, 90, 31, 73, 63, 70, 0, 64, 74, 32, 72, 69, 78, 46, 88, 0, 22, 4, 93, 67, 47, 59, 0, 53, 21, 5, 80, 34, 28, 2, 0, 10, 18, 50, 55, 97, 66, 89, 0, 71, 7, 14, 96, 37, 85, 100, 0, 42, 81, 30, 29, 27, 40, 0, 26, 3, 6, 24, 20, 56, 60, 0, 91, 8, 68, 38, 11, 0, 33, 75, 58, 16, 95, 79, 25, 0, 19, 86, 36, 49, 87, 0, 1, 12, 77, 51, 0, 45, 15, 84, 99, 0, 54, 65, 35, 0, 43, 13, 0, 94, 48, 0, 98, 0, 0, 0, 0, 0]"
"[5, 47, 90, 72, 45, 46, 63, 41, 0, 68, 91, 18, 76, 99, 0, 8, 32, 62, 60, 61, 78, 0, 10, 97, 81, 3, 83, 92, 53, 0, 11, 85, 69, 89, 40, 29, 0, 17, 6, 51, 9, 79, 4, 34, 0, 52, 49, 94, 64, 73, 36, 0, 100, 33, 84, 44, 66, 0, 24, 14, 39, 93, 86, 20, 28, 0, 98, 16, 65, 19, 77, 38, 0, 21, 74, 80, 12, 2, 7, 75, 0, 23, 82, 26, 96, 55, 48, 0, 42, 35, 37, 88, 0, 58, 57, 54, 43, 0, 1, 22, 67, 13, 70, 0, 15, 25, 56, 0, 59, 50, 0, 95, 31, 27, 87, 71, 0, 30, 0, 0, 0, 0, 0]"
"[40, 7, 26, 73, 91, 12, 87, 64, 0, 96, 16, 86, 41, 3, 85, 0, 84, 58, 5, 17, 57, 21, 11, 59, 0, 20, 90, 62, 22, 61, 53, 0, 24, 43, 19, 46, 18, 45, 70, 0, 48, 56, 69, 66, 77, 71, 72, 36, 65, 0, 4, 28, 27, 52, 97, 29, 50, 0, 68, 39, 76, 82, 44, 88, 0, 34, 14, 37, 51, 6, 99, 0, 93, 25, 38, 94, 83, 95, 0, 8, 67, 100, 78, 89, 0, 49, 1, 33, 13, 81, 0, 98, 30, 10, 47, 9, 31, 0, 23, 32, 15, 74, 54, 0, 42, 2, 0, 35, 55, 0, 80, 0, 63, 92, 0, 75, 0, 60, 79, 0, 0, 0, 0]"
"[50, 77, 91, 43, 64, 25, 65, 38, 0, 26, 89, 93, 13, 52, 7, 0, 94, 86, 80, 73, 67, 17, 0, 75, 88, 85, 4, 48, 59, 78, 72, 0, 15, 62, 97, 37, 30, 31, 0, 92, 76, 28, 14, 18, 0, 46, 61, 24, 29, 100, 2, 0, 70, 63, 95, 79, 44, 16, 35, 34, 0, 96, 99, 60, 9, 90, 22, 39, 55, 3, 11, 0, 20, 51, 23, 32, 40, 54, 6, 0, 49, 87, 12, 57, 81, 0, 84, 82, 1, 98, 45, 27, 58, 68, 0, 36, 21, 33, 66, 0, 69, 19, 71, 8, 56, 0, 5, 74, 47, 0, 41, 10, 0, 83, 42, 53, 0, 0, 0, 0, 0, 0, 0]"
"[40, 7, 84, 25, 37, 2, 93, 63, 26, 15, 0, 28, 56, 100, 58, 6, 71, 4, 24, 64, 0, 96, 82, 1, 54, 0, 57, 59, 90, 34, 48, 14, 5, 31, 0, 94, 92, 35, 19, 36, 30, 18, 0, 22, 70, 55, 81, 50, 88, 60, 89, 0, 61, 44, 51, 74, 16, 69, 8, 0, 33, 12, 20, 73, 86, 46, 21, 66, 0, 10, 65, 77, 38, 29, 43, 97, 32, 0, 75, 68, 41, 0, 11, 95, 45, 67, 76, 0, 9, 91, 13, 3, 83, 0, 39, 53, 52, 17, 49, 87, 0, 99, 98, 72, 42, 78, 85, 0, 23, 47, 0, 80, 79, 27, 0, 62, 0, 0, 0, 0, 0, 0, 0]"
"[95, 32, 19, 41, 40, 98, 65, 0, 75, 35, 51, 5, 43, 49, 52, 0, 66, 83, 70, 21, 88, 12, 37, 58, 0, 94, 4, 92, 47, 50, 25, 46, 0, 14, 100, 60, 38, 72, 22, 30, 0, 23, 10, 1, 61, 68, 0, 62, 84, 78, 71, 9, 34, 42, 59, 0, 79, 55, 29, 17, 26, 0, 86, 80, 24, 90, 2, 0, 20, 64, 54, 7, 87, 0, 33, 89, 6, 82, 48, 3, 0, 91, 57, 31, 45, 76, 56, 18, 0, 96, 39, 67, 11, 0, 44, 28, 74, 81, 53, 77, 15, 8, 0, 99, 73, 63, 16, 0, 93, 13, 0, 85, 97, 69, 0, 27, 36, 0, 0, 0, 0, 0, 0]"
"[71, 67, 69, 40, 37, 88, 90, 32, 0, 12, 64, 86, 93, 14, 83, 50, 47, 0, 58, 76, 21, 66, 18, 0, 28, 24, 23, 84, 43, 0, 54, 1, 16, 34, 51, 8, 96, 0, 62, 61, 19, 98, 20, 52, 55, 0, 81, 60, 97, 46, 80, 27, 17, 0, 77, 48, 59, 75, 30, 10, 63, 2, 36, 0, 38, 70, 49, 91, 35, 5, 0, 33, 74, 6, 94, 78, 82, 0, 41, 56, 87, 89, 68, 0, 99, 39, 72, 7, 31, 0, 65, 25, 26, 4, 0, 95, 73, 11, 100, 9, 44, 0, 22, 15, 45, 13, 3, 0, 85, 92, 53, 0, 79, 42, 0, 29, 57, 0, 0, 0, 0, 0, 0]"
"[18, 92, 44, 98, 56, 93, 57, 0, 94, 87, 39, 43, 42, 31, 48, 51, 0, 24, 33, 75, 61, 41, 8, 96, 0, 13, 1, 19, 76, 26, 60, 7, 85, 0, 22, 99, 88, 36, 83, 95, 0, 34, 73, 55, 35, 30, 6, 0, 77, 16, 64, 90, 81, 46, 49, 0, 20, 11, 52, 40, 70, 0, 68, 82, 84, 27, 63, 66, 38, 0, 9, 5, 65, 67, 17, 54, 0, 23, 53, 37, 4, 47, 0, 58, 69, 74, 97, 32, 0, 59, 50, 45, 89, 21, 0, 25, 12, 71, 29, 15, 0, 100, 62, 10, 28, 0, 86, 72, 3, 0, 78, 91, 79, 0, 14, 2, 0, 80, 0, 0, 0, 0, 0]"
