"[61, 70, 59, 62, 60, 84, 37, 0, 29, 52, 31, 81, 74, 2, 82, 9, 56, 0, 54, 25, 58, 39, 23, 77, 0, 53, 49, 51, 13, 46, 66, 0, 30, 91, 28, 100, 48, 83, 20, 0, 98, 86, 33, 6, 5, 0, 75, 24, 3, 64, 88, 93, 63, 0, 22, 97, 96, 94, 79, 0, 76, 14, 78, 89, 43, 73, 65, 0, 8, 50, 47, 41, 99, 42, 0, 67, 71, 45, 95, 0, 10, 85, 80, 57, 0, 12, 1, 11, 69, 55, 0, 19, 72, 17, 27, 92, 40, 0, 26, 32, 15, 36, 0, 21, 87, 68, 38, 0, 18, 44, 4, 0, 7, 16, 0, 34, 0, 90, 35, 0, 0, 0, 0]"
"[32, 19, 64, 7, 0, 27, 80, 92, 40, 97, 71, 88, 0, 89, 43, 1, 93, 36, 0, 69, 44, 63, 96, 8, 84, 58, 0, 74, 82, 76, 3, 51, 81, 78, 95, 9, 0, 24, 67, 99, 56, 48, 52, 35, 55, 0, 72, 33, 41, 38, 11, 0, 59, 34, 16, 68, 94, 0, 21, 25, 5, 39, 66, 37, 0, 23, 90, 54, 6, 46, 0, 79, 53, 49, 50, 61, 0, 91, 2, 60, 13, 29, 10, 0, 45, 62, 22, 57, 73, 28, 98, 70, 14, 0, 42, 20, 0, 4, 47, 86, 0, 85, 83, 12, 0, 15, 77, 31, 30, 0, 18, 100, 75, 65, 0, 17, 87, 0, 26, 0, 0, 0, 0]"
"[53, 33, 37, 85, 100, 0, 9, 57, 92, 62, 61, 39, 44, 76, 0, 22, 4, 50, 72, 69, 78, 46, 88, 0, 83, 52, 82, 23, 70, 0, 71, 10, 18, 42, 55, 77, 20, 89, 0, 90, 31, 73, 67, 47, 59, 60, 0, 64, 74, 32, 97, 66, 40, 0, 14, 96, 43, 58, 16, 95, 79, 25, 0, 93, 81, 30, 29, 27, 2, 0, 5, 68, 34, 17, 41, 11, 0, 26, 3, 6, 24, 48, 0, 21, 8, 80, 28, 38, 56, 0, 7, 91, 54, 94, 51, 0, 19, 86, 63, 99, 0, 1, 12, 36, 49, 87, 0, 75, 35, 0, 45, 15, 65, 0, 84, 0, 98, 0, 13, 0, 0, 0, 0]"
"[8, 68, 47, 90, 72, 45, 46, 63, 41, 0, 5, 97, 18, 76, 99, 0, 10, 51, 65, 9, 79, 83, 92, 0, 32, 62, 60, 61, 73, 0, 17, 6, 3, 53, 0, 98, 100, 81, 84, 44, 66, 0, 91, 49, 94, 86, 2, 20, 28, 0, 42, 95, 31, 27, 37, 88, 75, 0, 52, 85, 69, 89, 40, 29, 0, 24, 33, 15, 77, 4, 34, 0, 11, 64, 36, 0, 16, 59, 43, 13, 25, 70, 0, 23, 82, 26, 96, 38, 0, 21, 74, 14, 39, 93, 7, 0, 58, 57, 54, 19, 55, 48, 0, 35, 80, 12, 78, 0, 1, 22, 67, 0, 30, 50, 0, 87, 71, 56, 0, 0, 0, 0, 0]"
"[96, 16, 26, 73, 91, 12, 87, 64, 0, 40, 7, 5, 17, 57, 3, 85, 0, 24, 84, 58, 19, 22, 21, 61, 11, 59, 0, 34, 56, 69, 80, 77, 72, 99, 65, 0, 48, 20, 90, 41, 100, 78, 89, 0, 4, 28, 27, 97, 94, 50, 0, 68, 49, 39, 62, 82, 18, 45, 70, 0, 93, 25, 38, 52, 83, 29, 53, 0, 14, 37, 51, 6, 71, 36, 0, 43, 13, 46, 95, 0, 8, 67, 88, 0, 1, 76, 10, 44, 81, 0, 86, 9, 31, 0, 98, 33, 47, 0, 30, 32, 15, 74, 54, 0, 23, 55, 0, 35, 0, 42, 2, 0, 63, 92, 0, 66, 75, 0, 60, 79, 0, 0, 0]"
"[50, 77, 91, 43, 64, 25, 65, 38, 0, 15, 86, 80, 73, 67, 7, 0, 94, 62, 97, 52, 17, 0, 61, 22, 100, 31, 0, 26, 89, 93, 13, 59, 78, 72, 0, 92, 76, 30, 0, 75, 88, 85, 4, 48, 16, 35, 34, 0, 96, 99, 60, 9, 90, 24, 39, 55, 3, 11, 0, 46, 63, 28, 14, 18, 0, 70, 36, 1, 98, 45, 27, 58, 68, 0, 20, 51, 23, 40, 37, 0, 49, 87, 12, 57, 81, 0, 84, 82, 21, 33, 44, 0, 69, 5, 95, 79, 66, 0, 41, 42, 10, 56, 2, 0, 83, 53, 54, 6, 0, 19, 32, 8, 47, 0, 74, 29, 0, 71, 0, 0, 0, 0, 0]"
"[33, 12, 23, 47, 0, 28, 56, 100, 68, 6, 71, 4, 24, 64, 0, 40, 7, 84, 25, 37, 2, 93, 83, 15, 0, 96, 82, 1, 54, 0, 22, 55, 91, 50, 88, 3, 89, 0, 57, 59, 90, 34, 48, 14, 5, 31, 0, 94, 92, 35, 19, 86, 46, 21, 66, 0, 70, 81, 29, 41, 18, 0, 44, 51, 74, 16, 69, 8, 0, 10, 75, 58, 43, 26, 0, 61, 20, 77, 38, 36, 30, 32, 0, 11, 95, 45, 67, 76, 0, 39, 9, 13, 63, 97, 0, 99, 98, 72, 42, 78, 0, 65, 73, 80, 60, 0, 53, 52, 17, 49, 87, 0, 62, 79, 27, 0, 85, 0, 0, 0, 0, 0, 0]"
"[66, 70, 9, 34, 72, 12, 30, 0, 95, 32, 19, 41, 40, 98, 0, 35, 51, 5, 43, 49, 52, 0, 75, 100, 60, 38, 88, 22, 58, 0, 94, 4, 92, 47, 50, 25, 65, 0, 62, 14, 84, 78, 83, 21, 42, 37, 18, 0, 23, 10, 1, 61, 68, 46, 0, 80, 24, 90, 2, 0, 79, 55, 29, 17, 26, 77, 0, 20, 91, 71, 31, 45, 76, 56, 0, 86, 96, 7, 87, 0, 54, 39, 48, 3, 0, 64, 89, 6, 82, 99, 81, 8, 0, 33, 44, 74, 53, 15, 0, 57, 67, 11, 59, 0, 93, 13, 0, 28, 73, 63, 16, 0, 85, 27, 36, 0, 97, 69, 0, 0, 0, 0, 0]"
"[67, 69, 40, 37, 84, 43, 0, 71, 24, 23, 93, 14, 83, 50, 47, 0, 12, 64, 86, 51, 18, 0, 28, 6, 94, 52, 78, 32, 0, 76, 34, 8, 96, 0, 54, 1, 16, 98, 20, 10, 2, 36, 0, 58, 61, 21, 66, 4, 0, 33, 74, 87, 30, 90, 31, 0, 81, 60, 97, 46, 27, 17, 0, 41, 56, 79, 88, 42, 0, 62, 77, 19, 75, 13, 63, 55, 0, 38, 70, 49, 91, 35, 80, 5, 0, 65, 22, 29, 57, 0, 99, 59, 39, 89, 82, 0, 48, 73, 26, 100, 44, 0, 95, 25, 45, 11, 9, 3, 0, 15, 85, 92, 53, 0, 72, 7, 68, 0, 0, 0, 0, 0, 0]"
"[18, 92, 44, 98, 56, 93, 57, 0, 94, 87, 43, 42, 31, 48, 51, 0, 24, 33, 75, 61, 41, 8, 70, 96, 0, 22, 99, 88, 36, 83, 95, 0, 20, 39, 19, 76, 52, 26, 60, 7, 85, 0, 68, 16, 64, 90, 81, 46, 49, 0, 77, 86, 72, 63, 17, 54, 0, 9, 1, 65, 40, 6, 0, 73, 55, 35, 30, 0, 58, 69, 74, 97, 32, 0, 13, 3, 0, 82, 84, 27, 66, 38, 0, 34, 59, 78, 91, 21, 79, 0, 23, 11, 4, 89, 47, 0, 53, 37, 67, 15, 0, 5, 45, 29, 28, 0, 25, 12, 71, 0, 50, 10, 2, 0, 100, 62, 0, 14, 80, 0, 0, 0, 0]"
